,DPR412_classification,construction_year,degree_days,floors,net_area,heat_loss_surface,heated_usable_area,cooled_usable_area,heated_gross_volume,cooled_gross_volume,total_opaque_surface,total_glazed_surface,average_opaque_surface_transmittance,average_glazed_surface_transmittance,yie,Cm,surface_to_volume_ratio,Asol,system_type,energy_vectors_used,nominal_power,installation_year,EPh,QHnd,QHimp,total_effective_ventilation_flow,ventilation_type,air_changes,EPv,EPc,EPl,EPt,EPgl,EPw,Interfloor,system_performance,corridor,aereo,theoric_nominal_power,Area_check,air_changes_max
1900,13,1950,2516,2.0,378.73,1376.96,378.73,112.37,2136.99,533.52,1296.23,80.73,0.7713,3.7428,0.1534,253437.5,0.6443,53.83,0,"
						",897.0,1999.0,452.1967,105558.55,105485.72,15519.3467,2,2.6565,0.0,4.9082,49.6373,0.0,509.3945,2.6523,5.642515776410635,0.616,3685.361268259464,12.624333333333334,26.03876886,True,10.5272191259669
1901,13,1950,3012,,951.78,1881.37,951.78,0.0,4218.41,0.0,1684.65,302.13,0.8687,2.849,0.2433,451261.8,0.446,68.23,1,"
						",225.8,2020.0,190.017,139434.6,133627.72,797.8882,2,1.2155,11.1365,0.0,44.2122,4.5349,251.5839,1.6834,4.432127172245687,0.739,7696.343978415962,31.726,46.48447650000001,True,13.402142513411453
1903,12,1981,2577,0.0,238.79,903.34,238.79,166.75,908.09,633.42,803.08,100.26,0.8535,4.3566,0.3599,121949.3,0.9948,34.09,1,"
						",72.03,2020.0,759.2019,128984.88,128786.98,0.0,0,6.3925,0.0,0.0,37.9916,0.0,846.003,48.8094,3.8028811926797608,0.71,1738.6481009423803,7.959666666666666,22.44442992,True,15.619735929258113
1905,13,1960,2516,1.0,1434.6,4593.82,1381.24,97.21,5834.01,410.59,4276.67,317.15,0.6848,3.5833,0.168,759879.3,0.7874,133.34,1,"
						",1390.14,2005.0,301.5102,293819.91,281403.44,0.0,0,0.9143,0.0,0.3014,36.5543,0.0,342.5898,4.2239,4.2237482262315025,0.676,10778.68426793451,46.041333333333334,81.30214421999999,True,14.06333825276268
1906,13,1950,2717,,268.28,1536.1,804.84,804.84,3207.49,3207.49,1346.18,189.92,0.7179,4.3195,0.0386,306380.2,0.4789,109.62,1,"
						",113.12,2020.0,231.0372,139311.23,139311.23,0.0,0,1.3198,0.0,0.0,0.0,0.0,231.0372,0.0,3.985251727051339,0.749,6029.3095536307665,26.828,35.73564124,True,14.904955588326075
1907,13,1950,2541,0.0,554.46,1107.97,554.46,0.0,2488.28,0.0,903.45,59.82,0.8034,4.3724,0.3658,95021.48,0.4453,0.04,1,,73.0,2018.0,157.0045,71125.28,67798.78,3264.99,0,0.9,0.0,0.0,46.2296,0.0,227.03,23.7858,4.4877538505933705,0.779,4530.3508584510055,18.482000000000003,19.74777396,True,13.236020062050896
1909,13,1970,2915,1.0,723.0,1589.48,723.0,0.0,2548.38,0.0,1255.22,96.96,1.468,4.8458,0.37,227706.6,0.6237,0.07,1,"
						",100.0,2016.0,237.5587,150611.83,150611.82,1042.0,0,0.5,0.0,0.0,0.0,0.0,251.92,14.3598,3.5247302904564317,0.877,4972.111865289975,24.1,46.250234559999996,True,16.85235325971794
1912,13,1970,2958,0.0,897.6199,2278.85,897.62,897.62,4032.73,4032.73,2036.89,241.96,1.008,2.2776,0.2601,433819.7,0.5651,85.85,31,"
						",953.72,2017.0,225.4193,168436.68,168185.36,0.0,0,0.864,0.0,0.0,38.8764,2.0457,301.2656,34.9242,4.492691784942403,0.831,7331.815594734671,29.920666666666666,52.08546432,True,13.221472302881672
1913,13,1990,2478,,840.15,2692.12,840.15,840.15,4547.64,4547.64,2578.59,134.35,0.9962,3.5745,0.3531,477543.5,0.592,58.25,1,"
						",103.81,2015.0,230.8229,147031.53,146967.49,0.0,0,0.3362,0.0,0.0,42.3394,0.0,276.9199,3.7576,5.41289055525799,0.758,7896.827276316937,28.005,60.98050865999999,True,10.973803995039184
1914,8,2001,2575,0.0,266.8,644.6,266.8,219.0,1007.3,835.1,536.19,27.81,1.5199,2.9,0.4502,31124.35,0.6399,12.61,1,,41.2,2001.0,621.0066,133434.06,132858.42,8753.452,0,10.7563,0.0,0.0,117.0465,0.0,891.243,153.1899,3.7754872563718136,0.802,1931.4256865753168,8.893333333333334,17.912083620000004,True,15.733068599225655
