DPR412_classification,construction_year,degree_days,floors,net_area,heat_loss_surface,heated_usable_area,cooled_usable_area,heated_gross_volume,cooled_gross_volume,total_opaque_surface,total_glazed_surface,average_opaque_surface_transmittance,average_glazed_surface_transmittance,yie,Cm,surface_to_volume_ratio,Asol,system_type,nominal_power,installation_year,EPh,QHnd,QHimp,total_effective_ventilation_flow,ventilation_type,air_changes,EPv,EPc,EPl,EPt,EPgl,EPw,Interfloor,system_performance,corridor,aereo,theoric_nominal_power,Area_check,air_changes_max,cluster
13,1887,2617,,4735.59,8576.43,4735.59,0.0,28140.94,0.0,7490.68,1085.75,1.1161,3.2623,0.2557,1415124.0,0.3048,434.99,19,450.0,2016.0,226.2382,865587.42,865573.45,0.0,0,0.643,0.0,0.0,37.4008,0.72,264.7931,0.4341,5.942435894999355,0.808,47781.170641018325,157.853,238.04780346,True,9.995900847661806,2
13,1968,2617,,4639.22,6982.79,4639.22,0.0,18607.03,0.0,5906.06,1076.73,1.2894,2.7047,0.3111,1768178.0,0.3753,505.77,19,1403.0,2008.0,209.2058,767964.42,767943.84,0.0,0,0.3254,0.0,0.0,40.0758,0.6578,250.7101,0.7707,4.0108100068546,0.791,34855.06762381901,154.64066666666668,210.55010790000003,True,14.809976014441856,2
13,1983,2617,0.0,5537.94,8432.3,5537.94,5537.94,22883.94,22883.94,7314.62,1454.2,0.9311,4.7028,0.1557,2041208.0,0.3685,185.06,1,903.44,2016.0,253.8183,1051451.85,1051428.57,6193.511,2,1.0515,0.0,0.0,43.2051,0.683,298.3579,0.6516,4.132211616593896,0.748,42501.72175112885,184.598,272.98908883999997,True,14.37486883814588,2
13,1975,2808,,6614.879,9049.71,6614.88,0.0,29969.85,0.0,8351.23,736.24,0.8434,3.9732,0.4002,2244086.0,0.302,342.97,1,1971.57,1990.0,193.0886,1006520.09,1006495.92,0.0,0,0.64,0.0,0.0,32.8053,0.5407,227.0695,0.6349,4.530671758217836,0.788,54279.992945507205,220.496,199.37312299999996,True,13.110638591784744,2
13,1990,2815,,7654.629,12303.57,7654.63,107.9,30828.65,397.99,11115.05,1188.52,0.5908,2.9005,0.1253,2322090.0,0.3991,319.94,1,571.52,2022.0,175.7448,1105317.2,1047920.69,9531.2012,2,1.066,1.4198,2.349,49.9839,2.2457,231.7432,0.0,4.027451359503987,0.779,57672.31157888471,255.15433333333337,200.281476,True,14.748781474375296,2
13,1960,2617,,7682.262,13225.7,7682.26,0.0,49885.11,0.0,11348.66,1877.04,1.1071,3.1557,0.0877,3398401.0,0.2651,743.55,1,1161.08,2022.0,186.0162,1195421.54,1195386.62,0.0,0,0.6972,0.0,0.0,39.8191,0.5519,227.1769,0.7898,6.493546170007264,0.837,83148.0811036263,256.07533333333333,369.74953228,True,9.147544106848716,2
13,1935,2815,0.0,5141.881,9359.36,5141.88,0.0,30971.72,0.0,7574.56,432.13,1.2614,3.2603,0.1497,1482034.09,0.3022,265.71,1,636.5,2013.0,208.1599,870028.94,869863.46,47716.1268,0,1.6499,0.0,0.0,31.9169,0.0,241.8884,1.8115,6.023423339323361,0.813,52434.507169242774,171.39600000000002,219.26846846,True,9.861501782916804,2
13,1926,2617,0.0,4434.61,14395.25,8220.45,0.0,45752.48,0.0,11570.19,1635.25,0.9405,1.2753,0.2069,2304463.96,0.3146,345.04,1,1662.1,2017.0,168.9625,1020258.76,1020008.19,30606.13,0,0.81,0.0,0.0,27.1994,0.4565,198.8185,2.2001,5.56569044273732,0.734,78799.11652869255,274.01500000000004,259.34396039999996,True,10.672530319667915,2
13,1990,2870,,6557.79,13298.67,6557.79,0.0,34346.21,0.0,12035.44,1264.58,1.113,2.8829,0.3372,2225125.0,0.3872,385.24,1,1165.84,2017.0,238.6056,1159567.21,1143967.16,11899.2344,2,1.2556,2.0043,0.0,39.8674,0.6786,282.4278,1.2719,5.237467195503363,0.731,59993.786277555504,218.593,340.82204804,True,11.34135981815752,2
13,1933,2617,,9186.39,11056.96,9186.39,0.0,40104.42,0.0,8901.71,2155.25,1.0688,2.7695,0.1358,3290220.0,0.2757,990.87,19,1609.0,1998.0,154.6406,1075306.4,1075278.47,0.0,0,0.64,0.0,0.0,30.8218,0.0,185.9908,0.5284,4.365634378684119,0.757,73353.89574034535,306.21299999999997,309.66225045999994,True,13.606269982211437,2
