DPR412_classification,construction_year,degree_days,floors,net_area,heat_loss_surface,heated_usable_area,cooled_usable_area,heated_gross_volume,cooled_gross_volume,total_opaque_surface,total_glazed_surface,average_opaque_surface_transmittance,average_glazed_surface_transmittance,yie,Cm,surface_to_volume_ratio,Asol,system_type,energy_vectors_used,nominal_power,installation_year,EPh,QHnd,QHimp,total_effective_ventilation_flow,ventilation_type,air_changes,EPv,EPc,EPl,EPt,EPgl,EPw,Interfloor,system_performance,corridor,aereo,theoric_nominal_power,Area_check,air_changes_max,cluster
10,2004,2553,0.0,1767.14,6693.04,1767.14,1767.14,24357.11,24357.11,6183.61,502.55,1.6454,3.2737,0.7952,774061.24,0.2748,0.14,0,,840.0,2004.0,433.22,511139.64,511139.64,5549.5561,0,1.04680556866998,0.0,212.24,208.02,1.46,1204.37,349.42,13.783350498545673,0.668,36339.45067165068,58.90466666666667,236.39419658,True,4.309547232820314,1
4,1960,2939,0.0,74.14,205.45,74.14,0.0,303.48,0.0,149.53,14.73,1.0844,4.028,0.5523,17844.45,0.677,0.02,1,,204.8,2017.0,163.7031,11648.28,11648.28,184.4,0,0.49,0.0,0.0,22.9288,0.0,190.85,4.2164,4.093336930132183,0.96,577.269313115978,2.4713333333333334,4.4296554399999994,True,14.51138790035587,1
11,1930,2537,0.0,391.52,1384.42,391.52,0.0,2522.19,0.0,1228.71,50.92,1.022,2.292,0.2437,138249.87,0.5489,0.05,1,,98.5,2010.0,316.098,90552.96,90552.96,8425.47,0,0.67,0.0,0.0,146.8944,0.0,463.0,0.0,6.442046383326523,0.732,4229.021953103468,13.050666666666666,27.4490052,True,9.220672510794191,1
5,2023,2710,0.0,400.296,1237.22,400.3,400.3,1730.2,1730.2,1198.94,38.28,0.1413,1.0,0.1029,18250.07,0.7151,1.31,5,,11.8,2023.0,11.8821,22108.45,3181.24,1878.3269,3,0.765,12.2728,19.8755,48.2636,0.0,103.4754,11.1814,4.322258306270297,0.669,3185.665224531214,13.343333333333334,4.15380444,True,13.742815859438217,1
4,2015,2478,0.0,687.57,2090.39,687.57,687.57,3604.87,3604.87,1927.99,78.67,0.1985,1.8646,0.0101,194210.79,0.5799,0.04,1,,404.0,2015.0,15.5603,7165.28,7136.1,1675.04,1,0.41,0.0,6.1759,44.3571,0.0,329.15,263.0536,5.242913448812484,0.667,6309.2920736797705,22.919,10.587881940000004,True,11.329578597841255,1
6,2000,2664,0.0,2468.991,6507.2,2468.99,2346.82,12472.83,12004.38,6349.2,157.99,1.1793,2.7643,0.4898,518058.13,0.5217,99.31,19,,400.0,2000.0,916.3811,2106789.81,1511966.98,162730.9043,1,10.1459,0.0,16.9337,257.641,0.0,1232.4167,41.4609,5.051794458462773,0.668,21985.50398802655,82.29966666666665,158.48686634,True,11.758198099388832,1
4,1950,2559,0.0,233.9,474.71,233.9,233.9,1054.61,1054.61,333.39,60.69,1.6513,2.563,0.4631,59953.65,0.4501,0.1,1,,30.0,2012.0,184.8846,29639.95,29628.82,1152.44,2,0.83,181.2668,856.1339,720.9989,0.0,2057.19,113.9123,4.508807182556648,0.685,1925.5498324003831,7.796666666666667,14.121507539999998,True,13.174216060913515,1
8,1960,2523,0.0,318.69,851.63,318.69,0.0,1777.56,0.0,699.9,45.55,1.3219,4.6047,0.531,100515.99,0.4791,0.05,0,,29.7,1999.0,266.4491,92918.28,92541.72,7095.92,0,1.8,0.0,0.0,62.0247,0.0,406.51,78.0238,5.5777087451755625,1.09,3076.0728936773876,10.623,22.698837899999997,True,10.649534192938637,1
8,1930,3028,0.0,108.43,481.22,108.43,0.0,507.92,0.0,349.96,27.51,1.681,4.0222,0.3889,31387.65,0.9474,0.1,1,,33.7,2019.0,811.6953,68660.53,67902.7,3152.74,0,6.39,0.0,0.0,28.5151,0.0,1038.5,198.2988,4.684312459651387,0.772,925.790999394458,3.6143333333333336,13.978669639999998,True,12.680622932745312,1
13,1965,2894,0.0,207.77,643.98,207.77,0.0,1044.8,0.0,461.45,48.36,0.2454,1.6352,0.0385,64308.53,0.6164,0.09,31,,243.4,1994.0,216.3414,30861.57,30859.37,1755.66,0,1.12,0.0,0.0,9.1399,0.0,226.5,1.0232,5.0286374356259325,0.687,1857.5156022293584,6.925666666666667,3.84636204,True,11.812344946401227,1
5,1800,2748,1.0,115.51,997.9,348.69,0.0,1469.1,0.0,1021.14,100.24,1.2095,2.5817,0.0778,72589.27,0.6793,37.3,1,,58.0,2013.0,399.7445,112602.54,112528.5,4014.1017,0,0.991426930371173,0.0,0.0,0.0,0.0,406.456,6.7115,4.213197969543147,0.807,2725.5830822807225,11.623,29.87716876,True,14.09855421686747,1
4,1970,2563,0.0,306.91,488.34,306.91,0.0,1132.73,0.0,384.84,41.22,1.0419,5.8902,0.3359,54958.07,0.4311,0.06,1,,258.0,2009.0,394.2505,98086.7,98079.71,4103.24,0,0.88,0.0,0.0,7.9596,0.0,403.58,1.3637,3.6907562477599294,0.811,2185.1610284332023,10.230333333333334,12.875176799999998,True,16.09426253387833,1
13,1965,2651,0.0,2162.26,3630.57,2450.41,0.0,10694.43,0.0,2914.56,515.94,1.384,1.1927,0.3101,553840.34,0.3395,0.1,0,,468.6,1992.0,209.3401,390280.52,389980.07,27751.84,0,1.47,0.0,0.0,38.796,6.8866,269.94,14.9187,4.364343109928543,0.76,19572.05698281815,81.68033333333332,92.98225356,True,13.610295639879824,1
4,1900,2620,12.0,89.05,4155.72,1456.34,0.0,7070.99,0.0,2733.0,180.47,0.9797,1.7573,0.0303,333385.12,0.5877,0.04,1,,345.0,2019.0,255.0426,283431.45,283349.67,13561.52,0,1.28,0.0,0.0,41.2601,1.7699,307.82,9.7545,4.8553153796503565,0.763,12592.31121745678,48.544666666666664,59.89320062,True,12.234014756066689,1
